# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
4.200000000000000000e+01 1.161651564778262369e+01 2.565202905265723948e-02 -1.275429644278680286e+01 1.433276103082664621e-01
4.300000000000000000e+01 1.149459113854753234e+01 2.678867268128697077e-02 -1.255509430372590529e+01 1.360734702838193033e-01
4.400000000000000000e+01 1.156857368023367627e+01 2.424381102546664668e-02 -1.266360297849177030e+01 1.357149458788156626e-01
4.500000000000000000e+01 1.156049071104934178e+01 2.234705431386885266e-02 -1.268525177225971134e+01 1.364530757567012365e-01
4.600000000000000000e+01 1.124143480112742211e+01 2.675814296169658907e-02 -1.247273418419130842e+01 1.346828368055778546e-01
4.700000000000000000e+01 1.153536626374187257e+01 2.182866238341994031e-02 -1.257452631981799840e+01 1.356980086582607048e-01
4.800000000000000000e+01 1.155325310248561266e+01 2.296099698393948632e-02 -1.272615518074982077e+01 1.351849125098669446e-01
4.900000000000000000e+01 1.157053656192781155e+01 2.155898024833283189e-02 -1.248623991058314253e+01 1.383158157675643540e-01
5.000000000000000000e+01 1.145282339969032215e+01 2.218351688683806514e-02 -1.271306499515834965e+01 1.366964224376464587e-01
5.100000000000000000e+01 1.159602443038348696e+01 2.520609790953028118e-02 -1.258114835481945448e+01 1.364198571615045930e-01
5.200000000000000000e+01 1.156200573249381769e+01 2.302718123141508921e-02 -1.252759402167703762e+01 1.363124839228689322e-01
5.300000000000000000e+01 1.143745815580128244e+01 2.202828610712199292e-02 -1.228529527870611382e+01 1.353223593542027536e-01
5.400000000000000000e+01 1.157513088255768174e+01 2.098769715187423154e-02 -1.270837291025378590e+01 1.368629674556865738e-01
5.500000000000000000e+01 1.151407244171873856e+01 2.148903093317557772e-02 -1.232090661882748250e+01 1.352588717134311780e-01
5.600000000000000000e+01 1.149445365482921666e+01 2.347756324104160325e-02 -1.245439398330339387e+01 1.357042197965052654e-01
5.700000000000000000e+01 1.137202470573909352e+01 2.110578957075375656e-02 -1.272666762640237081e+01 1.351752613015540783e-01
5.800000000000000000e+01 1.146758753031454070e+01 2.034882362074566867e-02 -1.260886368537027735e+01 1.350965112111714161e-01
5.900000000000000000e+01 1.149138750944746334e+01 2.176472968744859460e-02 -1.260749144284377898e+01 1.376782393471390475e-01
6.000000000000000000e+01 1.146644914073581134e+01 2.037594743554936583e-02 -1.267366555094195313e+01 1.357968726553514804e-01
6.100000000000000000e+01 1.151033320522196668e+01 2.353134545873957623e-02 -1.244214968838165802e+01 1.346219005954672199e-01
6.200000000000000000e+01 1.143704311110387195e+01 2.218709523977708750e-02 -1.250789786952551452e+01 1.367129396429444810e-01
6.300000000000000000e+01 1.150209025964500320e+01 2.068416619945194143e-02 -1.259797590697630731e+01 1.352644815176649029e-01
6.400000000000000000e+01 1.158668726155203821e+01 2.004184324267685099e-02 -1.249990781481050206e+01 1.355472830369304216e-01
6.500000000000000000e+01 1.151361700428951096e+01 2.036043365369829758e-02 -1.261757343974495171e+01 1.352814083238247089e-01
6.600000000000000000e+01 1.146399854918241168e+01 1.998082679071080947e-02 -1.252873878334881219e+01 1.346595792378587619e-01
6.700000000000000000e+01 1.146425195460254898e+01 1.891116966051693826e-02 -1.253787808012967453e+01 1.350285073657817858e-01
6.800000000000000000e+01 1.143588547002634215e+01 1.990414005561893032e-02 -1.282551512046104492e+01 1.352681410783062588e-01
6.900000000000000000e+01 1.152079830672390770e+01 1.991773387794433525e-02 -1.255372021502268964e+01 1.349992522666721151e-01
7.000000000000000000e+01 1.153988521403964818e+01 1.834778648140755752e-02 -1.250130153382310993e+01 1.351430302476598344e-01
7.100000000000000000e+01 1.141144595810941098e+01 1.904387468510823633e-02 -1.235546126670815248e+01 1.346371839923725111e-01
7.200000000000000000e+01 1.130632631004131738e+01 1.891155114261194176e-02 -1.243299528116387620e+01 1.352756257371178217e-01
7.300000000000000000e+01 1.141198250664688274e+01 1.821718387927669103e-02 -1.251803742473759762e+01 1.342845268285652871e-01
7.400000000000000000e+01 1.140225604636782997e+01 1.863320641104801792e-02 -1.250529326429084165e+01 1.348261611086342404e-01
7.500000000000000000e+01 1.143728403218336354e+01 1.782629839491376919e-02 -1.240262687567126854e+01 1.343418901392612330e-01
7.600000000000000000e+01 1.152786551747376897e+01 1.968178250964983111e-02 -1.246589162029706443e+01 1.341507941904092616e-01
7.700000000000000000e+01 1.147105736416475708e+01 1.891176836754568380e-02 -1.256848301839893800e+01 1.346012544384390663e-01
7.800000000000000000e+01 1.148612419792036832e+01 1.786704167150219430e-02 -1.257025979713918318e+01 1.346079706081665106e-01
7.900000000000000000e+01 1.149222342620604209e+01 1.773532405379611709e-02 -1.230106558673162453e+01 1.345309757308778276e-01
8.000000000000000000e+01 1.149691377162712413e+01 1.945864558964020483e-02 -1.253772417488363544e+01 1.347249810142097104e-01
8.100000000000000000e+01 1.140788670595485144e+01 1.768600704837954007e-02 -1.236590088266073018e+01 1.342226104737006820e-01
8.200000000000000000e+01 1.142996008534799834e+01 1.866971761699998122e-02 -1.262796414330636630e+01 1.339052682612199563e-01
8.300000000000000000e+01 1.138688523701057953e+01 1.739981395630411584e-02 -1.261795094917008164e+01 1.348782832691677314e-01
