# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
1.900000000000000000e+01 1.470798127131464383e+01 3.675342866626465921e-02 -1.556209817089353642e+01 1.549067427578002254e-01
2.000000000000000000e+01 1.474953633474432557e+01 3.735555037358646857e-02 -1.563903731835690714e+01 1.596324598263678951e-01
2.100000000000000000e+01 1.474318448976598361e+01 3.395238149561334573e-02 -1.566049848021597413e+01 1.512550740465662402e-01
2.200000000000000000e+01 1.461833689921303225e+01 3.399049668878161012e-02 -1.575938299193641967e+01 1.409015384577590457e-01
2.300000000000000000e+01 1.471978977800313260e+01 2.910844986489891095e-02 -1.532894751678134782e+01 1.681198609014394885e-01
2.400000000000000000e+01 1.463245257302623692e+01 3.722278163195170270e-02 -1.585669225778252844e+01 1.433224579625652639e-01
2.500000000000000000e+01 1.472485032681842299e+01 3.600524648151243179e-02 -1.563118454183035055e+01 1.380709703571613989e-01
2.600000000000000000e+01 1.475924593111000327e+01 3.050705440101606630e-02 -1.542396873095293586e+01 1.511050545173372728e-01
2.700000000000000000e+01 1.475126597362931236e+01 3.129297282618757892e-02 -1.582738820312940931e+01 1.440037789162597337e-01
2.800000000000000000e+01 1.466469905926773265e+01 3.034529385869660228e-02 -1.542199576084276913e+01 1.386523131529633635e-01
2.900000000000000000e+01 1.457003357949444045e+01 3.105641011617082253e-02 -1.571420853716612065e+01 1.369288458003216635e-01
3.000000000000000000e+01 1.469271817551019232e+01 2.890398373294979228e-02 -1.557425470165508763e+01 1.379436560444703141e-01
3.100000000000000000e+01 1.476138247694516892e+01 2.725625924779768311e-02 -1.586223286594527337e+01 1.482545720798502109e-01
3.200000000000000000e+01 1.469863231016812755e+01 2.829882231143482363e-02 -1.561327690290870152e+01 1.362925182451478479e-01
3.300000000000000000e+01 1.465149808824427247e+01 2.703300106191297222e-02 -1.577047178644728298e+01 1.405643053972595591e-01
3.400000000000000000e+01 1.467278516209115580e+01 2.573423735115600020e-02 -1.574577861999327943e+01 1.396784486467777253e-01
3.500000000000000000e+01 1.468865770891907019e+01 2.693389832815145518e-02 -1.534374668681951626e+01 1.408308158244028774e-01
3.600000000000000000e+01 1.482370643434304647e+01 2.991038266280469926e-02 -1.570920131614165172e+01 1.363738223362485624e-01
3.700000000000000000e+01 1.477301464878629567e+01 2.621769836621946556e-02 -1.549058481735238324e+01 1.385748758321848906e-01
3.800000000000000000e+01 1.466593048674483768e+01 2.503224164350495787e-02 -1.535097410726132239e+01 1.426081285932905840e-01
3.900000000000000000e+01 1.461542768518908098e+01 2.389981091882281000e-02 -1.577923563361486003e+01 1.379051870349705944e-01
4.000000000000000000e+01 1.473968955302346373e+01 2.453238209988796784e-02 -1.543709752790890199e+01 1.352415840845605233e-01
4.100000000000000000e+01 1.455403019639432927e+01 2.630858717695670410e-02 -1.592368858691307487e+01 1.384788212995309020e-01
4.200000000000000000e+01 1.462455655051088144e+01 2.520370047535851546e-02 -1.602370574927642721e+01 1.431901863154214916e-01
4.300000000000000000e+01 1.459027499973070086e+01 2.685178286021666291e-02 -1.574066328481435662e+01 1.361106473529767324e-01
4.400000000000000000e+01 1.476161651320381019e+01 2.437412471948275858e-02 -1.536913569813198599e+01 1.362574387395595332e-01
4.500000000000000000e+01 1.461788109057840224e+01 2.242447220624561519e-02 -1.573888080941331502e+01 1.366396446921345487e-01
4.600000000000000000e+01 1.468609125297202134e+01 2.529687392894997694e-02 -1.547441240241859717e+01 1.346623295397360864e-01
4.700000000000000000e+01 1.463007980113567541e+01 2.214297397866927392e-02 -1.570270113922575916e+01 1.351365764356619037e-01
4.800000000000000000e+01 1.469049289149673143e+01 2.301905770892702027e-02 -1.545058409393545773e+01 1.352509758912951165e-01
4.900000000000000000e+01 1.472788252861331060e+01 2.155378957708274645e-02 -1.567093214655747069e+01 1.380263938770995846e-01
5.000000000000000000e+01 1.465626249861387542e+01 2.205945966824953905e-02 -1.571854633864874806e+01 1.372439038623460561e-01
5.100000000000000000e+01 1.474372259631273252e+01 2.547058307228632773e-02 -1.556448991165157025e+01 1.362187941306995664e-01
5.200000000000000000e+01 1.459026513516138657e+01 2.320076382001388937e-02 -1.585141232096904140e+01 1.361532927245950597e-01
5.300000000000000000e+01 1.464169861364750425e+01 2.207940163635875586e-02 -1.570956567290155448e+01 1.354185660165193317e-01
5.400000000000000000e+01 1.465956196232093056e+01 2.082255644035119549e-02 -1.577612903546840428e+01 1.372337726284605097e-01
5.500000000000000000e+01 1.471997699026596429e+01 2.142422684825263587e-02 -1.576223151276824375e+01 1.354130307453431659e-01
